"x1" "x2" "y"
"1" 6.75 5.33 4.49
"2" 8.37 6.13 9.66
"3" 6.33 5.95 4.32
"4" 11.19 5.98 9.3
"5" 8.66 4.83 6.7
"6" 6.36 7.82 5.45
"7" 8.97 4.41 5.89
"8" 9.48 7.1 8.35
"9" 9.15 6.54 9.71
"10" 7.39 5.2 5.94
"11" 11.02 7.24 9.43
"12" 8.78 4.8 1.84
"13" 6.76 2.05 4.93
"14" 3.57 6.37 2.12
"15" 10.25 6.3 8.49
"16" 7.91 3.12 6.16
"17" 7.97 5.88 5.27
"18" 9.89 5.25 10.86
"19" 9.64 4.01 4.88
"20" 9.19 5.83 9.36
"21" 9.84 6.98 8.34
"22" 9.56 6.25 11.49
"23" 8.15 4.09 4.56
"24" 4.02 2.77 3.61
"25" 9.24 4.33 5.58
"26" 7.89 7.57 5.84
"27" 7.69 6.83 6.87
"28" 5.06 6.55 3.75
"29" 7.04 7.74 4.01
"30" 8.84 7.96 8.98
"31" 10.72 5.64 9.03
"32" 7.79 2.18 4.04
"33" 8.78 4.02 4.13
"34" 7.89 3.67 6.3
"35" 5.25 2.7 3.63
"36" 7.17 2.26 4.01
"37" 7.21 4.22 5.32
"38" 7.88 4.02 5.91
"39" 10.2 3.04 3.53
"40" 9.53 5.73 8.86
"41" 7.67 4.39 5.15
"42" 7.49 7.73 5.77
"43" 9.39 5.92 9.19
"44" 9.11 3.97 2.71
"45" 6.62 3.18 6.64
"46" 6.59 2.69 6.29
"47" 8.73 7.98 8.61
"48" 9.54 4.28 4.42
"49" 7.78 5.37 2.3
"50" 9.76 6.4 10.21
"51" 8.8 7.22 11.52
"52" 6.78 5.43 2.45
"53" 8.68 2.07 3.53
"54" 5.74 7.44 3.7
"55" 10.87 6.62 8.65
"56" 11.96 4.3 1.96
"57" 7.27 2.56 5.13
"58" 5.91 2.3 2.59
"59" 9.14 6.93 9.47
"60" 7.73 6.98 5.24
"61" 12.8 5.93 9.25
"62" 7.92 2.8 5.62
"63" 9.38 4.05 4.47
"64" 8.06 6.39 8.69
"65" 6.51 7.44 5.31
"66" 8.38 6.18 8.96
"67" 4.39 3.45 6.72
"68" 10.93 5.86 9.48
"69" 8.31 3.68 5.57
"70" 12.35 7.75 9.76
"71" 8.95 2.95 0.74
"72" 6.58 4.51 2.79
"73" 9.22 3.51 3.97
"74" 6.13 2.57 4.8
"75" 5.49 6.97 1.57
"76" 8.58 5.15 10.7
"77" 7.11 6.01 3.74
"78" 8 4.45 3.56
"79" 8.15 7.06 7.56
"80" 6.82 6.42 2.68
"81" 6.86 4.09 4.57
"82" 7.73 7.69 5.14
"83" 10.36 5.88 6.88
"84" 4.95 2.21 3.24
"85" 9.19 5.58 10.17
"86" 8.67 4.49 3.93
"87" 10.13 2.46 7.21
"88" 7.39 5.17 6.06
"89" 8.74 7.77 10.24
"90" 8.53 6.25 9.51
"91" 6.91 5.32 4.85
"92" 10.42 3.46 3.62
"93" 10.32 6.67 10.29
"94" 9.4 5.91 11.35
"95" 11.17 6.98 10.85
"96" 9.12 5.89 8.48
"97" 5.45 4.88 2.48
"98" 6.85 4.97 4.36
"99" 5.55 4.28 5.05
"100" 7.05 4.7 6.19
"101" 6.76 6.89 2.85
"102" 8.08 7.57 9.96
"103" 6.18 2.88 4.79
"104" 8.32 6.5 10.99
"105" 6.69 7.85 4.47
"106" 11.53 7.85 9.05
"107" 9.43 4.1 3.07
"108" 9.82 4.36 3.85
"109" 8.77 7.71 9.05
"110" 11.36 2.64 7.44
"111" 6.73 7.61 7.56
"112" 7.08 4.08 4.29
"113" 10.86 5.2 8.2
"114" 6.7 5.23 2.03
"115" 7.59 6.29 5.14
"116" 7.21 4.43 3.14
"117" 7.36 2.92 7.36
"118" 7.44 4.04 3.39
"119" 8.99 5.76 9.64
"120" 7.65 2.34 9.26
"121" 6.99 7.11 3.11
"122" 10.69 3.28 4.88
"123" 7.57 5.24 3.12
"124" 7.64 2.82 4.93
"125" 7.8 3.95 3.41
"126" 9.43 5.73 9.6
"127" 7.85 3.54 4.13
